,CellID,CitationIDs
8,2055565344.0,1983995791.0
9,2315649733.0,1983995791.0
11,2031605731.0,1983995791.0
12,2036655450.0,1983995791.0
13,2040234622.0,1983995791.0
14,1602259421.0,1983995791.0
15,2017638386.0,1983995791.0
16,2066881975.0,1983995791.0
17,2033721499.0,1983995791.0
18,20885474.0,1983995791.0
19,2085207064.0,1983995791.0
20,2029078418.0,1983995791.0
21,1983895577.0,1983995791.0
22,1677824830.0,1983995791.0
23,1965680085.0,1983995791.0
24,1982896358.0,1983995791.0
25,2067869442.0,1983995791.0
26,2088320605.0,1983995791.0
27,1979977078.0,1983995791.0
28,4348238.0,1983995791.0
29,2162349375.0,1983995791.0
30,2081890619.0,1983995791.0
31,40458942.0,1983995791.0
32,2129251289.0,1983995791.0
33,2069232926.0,1983995791.0
34,2072229933.0,1983995791.0
0,2017329436.0,1969528612.0
1,2059854672.0,1969528612.0
0,1980106099.0,2015896570.0
1,1970533917.0,2015896570.0
2,2021997714.0,2015896570.0
3,159301158.0,2015896570.0
4,2015243472.0,2015896570.0
5,2069204464.0,2015896570.0
6,2069395024.0,2015896570.0
7,2295736132.0,2015896570.0
8,2123224804.0,2015896570.0
9,44546132.0,2015896570.0
10,2029103359.0,2015896570.0
0,77835761.0,2134835429.0
1,2164889311.0,2134835429.0
2,196703898.0,2134835429.0
3,2148539501.0,2134835429.0
0,2056823618.0,2161852853.0
1,2129796157.0,2161852853.0
2,2079272739.0,2161852853.0
3,2132320458.0,2161852853.0
4,2083679672.0,2161852853.0
5,2054639529.0,2161852853.0
6,2043313903.0,2161852853.0
7,2115156944.0,2161852853.0
8,2120143588.0,2161852853.0
9,2057636570.0,2161852853.0
10,2111920589.0,2161852853.0
11,2042878822.0,2161852853.0
12,2089047912.0,2161852853.0
13,1963588128.0,2161852853.0
14,2175234548.0,2161852853.0
15,2083951745.0,2161852853.0
16,2102380305.0,2161852853.0
17,1997773058.0,2161852853.0
18,2077191262.0,2161852853.0
0,2056823618.0,2158542517.0
1,2000265421.0,2158542517.0
2,2266161599.0,2158542517.0
3,2023678140.0,2158542517.0
4,2143503529.0,2158542517.0
5,2008951212.0,2158542517.0
6,4348238.0,2158542517.0
0,2034855885.0,2087247769.0
1,2129796157.0,2087247769.0
2,2000905420.0,2087247769.0
3,2119394009.0,2087247769.0
4,1983745919.0,2087247769.0
5,1992231614.0,2087247769.0
6,1976972876.0,2087247769.0
7,2140095548.0,2087247769.0
8,2100495367.0,2087247769.0
9,1977082775.0,2087247769.0
10,2138661420.0,2087247769.0
11,1480367172.0,2087247769.0
12,1992844383.0,2087247769.0
13,2149606389.0,2087247769.0
14,2057636570.0,2087247769.0
15,2122538988.0,2087247769.0
16,2068561554.0,2087247769.0
17,2127042265.0,2087247769.0
18,2093933762.0,2087247769.0
19,2147703419.0,2087247769.0
20,2066674831.0,2087247769.0
21,2070135905.0,2087247769.0
22,1974271766.0,2087247769.0
0,1837341434.0,2340946588.0
1,1903420222.0,2340946588.0
2,2037759671.0,2340946588.0
3,1985819705.0,2340946588.0
4,2036931096.0,2340946588.0
5,2039563160.0,2340946588.0
6,2038937326.0,2340946588.0
7,2045279221.0,2340946588.0
0,1966778827.0,1991299222.0
1,2386259472.0,1991299222.0
2,1985357765.0,1991299222.0
3,2347435084.0,1991299222.0
5,2066448403.0,1991299222.0
0,2326425945.0,2124283221.0
1,2119394009.0,2124283221.0
3,2102282044.0,2124283221.0
4,2051576668.0,2124283221.0
6,2042878822.0,2124283221.0
0,2034297152.0,2121325074.0
1,2081929562.0,2121325074.0
2,2122419965.0,2121325074.0
3,2081956682.0,2121325074.0
4,2011379916.0,2121325074.0
5,1988147327.0,2121325074.0
6,2046555798.0,2121325074.0
7,2070678020.0,2121325074.0
8,2047609497.0,2121325074.0
9,2130477114.0,2121325074.0
10,2145561590.0,2121325074.0
11,2103887002.0,2121325074.0
12,2151254844.0,2121325074.0
13,1999874238.0,2121325074.0
14,2072315419.0,2121325074.0
15,2162950776.0,2121325074.0
16,2073897969.0,2121325074.0
17,2151879679.0,2121325074.0
18,2117937074.0,2121325074.0
19,2152632374.0,2121325074.0
20,2019704130.0,2121325074.0
21,2067652121.0,2121325074.0
0,2066955079.0,1964564726.0
2,2051576668.0,1964564726.0
3,2042878822.0,1964564726.0
0,2091700420.0,1980072408.0
1,2055244432.0,1980072408.0
2,2164408514.0,1980072408.0
3,1592379386.0,1980072408.0
5,2033356055.0,1980072408.0
6,2315649733.0,1980072408.0
7,2031605731.0,1980072408.0
8,2053601611.0,1980072408.0
9,2092612238.0,1980072408.0
10,1602259421.0,1980072408.0
11,2090030382.0,1980072408.0
12,2109911863.0,1980072408.0
